DateTime,Open,High,Low,Close
2020-09-03 00:00:00,48009,48009,47709,47745
2020-09-03 01:00:00,47744,47939,47710,47930
2020-09-03 02:00:00,47915,47950,47910,47950
2020-09-03 03:00:00,47950,48000,47950,48000
2020-09-03 04:00:00,47949,47999,47940,47941
2020-09-03 05:00:00,47941,47999,47941,47952
2020-09-03 06:00:00,47951,48300,47951,48296
2020-09-03 07:00:00,48296,48296,48020,48028
2020-09-03 08:00:00,48028,48189,47940,48000
2020-09-03 09:00:00,48001,48190,48000,48029
2020-09-03 10:00:00,48253,48253,48013,48034
2020-09-03 11:00:00,48170,48177,47853,47991
2020-09-03 12:00:00,47991,48080,47800,47801
2020-09-03 13:00:00,47801,48008,47720,47720
2020-09-03 14:00:00,47721,47999,47710,47721
2020-09-03 15:00:00,47721,47980,47700,47871
2020-09-03 16:00:00,47871,48050,47870,47945
2020-09-03 17:00:00,47946,47950,47732,47950
2020-09-03 18:00:00,47950,47950,47588,47595
2020-09-03 19:00:00,47593,47930,47504,47601
2020-09-03 20:00:00,47601,47649,46449,46453
2020-09-03 21:00:00,46454,47700,46453,46730
2020-09-03 22:00:00,46810,47493,46500,46678
2020-09-03 23:00:00,46678,46820,46112,46360
2020-09-04 00:00:00,46360,46360,45800,45800
2020-09-04 01:00:00,45797,46009,45520,45897
2020-09-04 02:00:00,45881,46359,45880,46355
2020-09-04 03:00:00,46355,46355,45455,45831
2020-09-04 04:00:00,46106,46360,45851,46103
2020-09-04 05:00:00,46103,46359,46103,46359
2020-09-04 06:00:00,46359,46360,45997,45997
2020-09-04 07:00:00,45995,45995,44100,44449
2020-09-04 08:00:00,44449,45874,44244,44861
2020-09-04 09:00:00,44861,45500,44753,45080
2020-09-04 10:00:00,45081,45081,44500,44769
2020-09-04 11:00:00,44755,45000,44360,44548
2020-09-04 12:00:00,44526,44775,44100,44319
2020-09-04 13:00:00,44319,44362,44000,44011
2020-09-04 14:00:00,44297,44451,44000,44000
2020-09-04 15:00:00,44173,44310,43904,44310
2020-09-04 16:00:00,44254,44989,44201,44987
2020-09-04 17:00:00,44985,44985,44000,44746
